tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047038500,3323042.0,1653.115511161918,3472500.0,1721.6192690042042,1990787.0,1628.4178634699915,2143591.0,1705.383104084756
36047094402,1159348.0,576.5009439886392,1684840.0,785.1945353747743,1180244.0,1018.0043538281184,998641.0,1001.8807377306354
36047024300,3708610.0,2071.2824957586586,3710348.0,2073.313055905582,2587742.0,2302.300912514966,2590709.0,2306.3068203669345
36047003800,2147805.0,864.1197837188624,2376025.0,953.0543452484025,1095076.0,762.4414284556553,1561168.0,973.4596114532252
36047033300,3320253.0,1590.8155772093228,3466138.0,1647.6343387601016,1937962.0,1687.7403971556423,2076538.0,1744.838082824535
36047003500,4254132.0,4247.579158005118,4259763.0,4252.927685373213,3166988.0,2797.306786531154,3170692.0,2820.4103513968794
36047009200,3002120.0,1440.0358028406097,3108493.0,1478.038928442537,1325991.0,1187.9616254368048,1809245.0,1421.4819426056067
36047051400,3350604.0,1632.7042906358993,3630173.0,1762.3325870271462,1851613.0,1743.6264194649025,2225965.0,1971.0883813854896
36047052600,3072893.0,1613.8103521098428,3412344.0,1778.376238259736,1780342.0,1591.2086274245237,1789411.0,1620.094508730263
36047051500,3648652.0,2741.3854934885862,3748919.0,2776.0024579749256,2360627.0,1871.1442361508305,2433109.0,1899.5676683287213
36047051700,4018334.0,3682.037117505294,4088873.0,3708.024890598002,2689381.0,2092.578584742498,2764435.0,2124.741400781678
36047051800,3176766.0,1694.643983533542,3469357.0,1836.9084603928377,1781461.0,1605.8546638697842,2211723.0,1841.4048593991868
36047051900,3986778.0,3727.547489386548,4062413.0,3754.998159601373,2804739.0,2230.71859615158,2853570.0,2253.4002899395937
36047052000,3156423.0,1699.613714742144,3436851.0,1823.9214514770465,1719840.0,1486.977856583564,2121027.0,1695.156742196652
36047052300,3696384.0,2599.2367957788565,3736694.0,2613.944086205281,2586380.0,2052.3209731218594,2597455.0,2057.04385537669
36047052700,3894016.0,2869.5790871018994,3919782.0,2879.626696071413,2788262.0,2343.3132965141,2832136.0,2374.70202060681
36047052900,3934233.0,3021.488728245556,3957557.0,3030.524105476951,2614332.0,2127.792672098016,2680683.0,2162.958783061287
36047053000,2940643.0,1437.108815092171,3313823.0,1636.1072355282363,1402258.0,1244.051835610277,2222347.0,1935.187755175336
36047053100,3764252.0,2462.6916788649223,3788182.0,2470.879455622395,2436107.0,1956.5607944978544,2434893.0,1956.8358912913925
36047053300,3432513.0,2600.7807468309147,3450188.0,2606.8687262749118,1978910.0,1630.6876988562185,1997886.0,1638.2058541464949
36047053400,2969750.0,1505.9655497777194,3308193.0,1663.717105155034,1407537.0,1232.1760684278363,1407143.0,1258.8221304698188
36047053500,3685487.0,3042.850453270699,3732085.0,3059.2572580740407,2482218.0,1888.831211668947,2493146.0,1894.272236470664
36047067000,1059377.0,550.4297757305064,1420784.0,692.2410742360734,1196715.0,1008.086981874819,1764988.0,1241.5946087833602
36047025500,3746601.0,2495.096863572022,3752439.0,2497.4174462697474,2749172.0,2220.172203176269,2750214.0,2220.730031969249
